"","State","id","text","Class","period","licensure","education_access","services","status","enforcement","criminal","refugee","migrant","employment","emergency","Class_Int","impact_score","weighted_class"
"341","GA","GA H 1027 2012","This law expands the definition of business enterprise in the entertainment industry to include affiliates that are registered for and authorized to use the E-Verify system.","","2012-2016",0,0,0,0,0,0,0,0,1,0,NA,1,NA
"345","GA","GA H 394 2015","This law adds language to allow licensure of those who graduated from a nursing education program outside the U.S. that is determined by the board to be equivalent to and not less stringent than an approved nursing education program.","","2012-2016",1,1,0,0,1,0,0,0,0,0,NA,3,NA
"346","GA","GA H 502 2015","America's Founding Philosophy and Principles Act provides for the ability of each local board of education to require all students, as a condition of graduation, during their ninth through twelfth grade years to complete and pass a separate semester course covering the founding philosophy and principles of the U.S.","","2012-2016",0,1,0,0,0,0,0,0,0,0,NA,1,NA
"348","GA","GA H 741 2012","This law amends appropriations for the Fiscal Year beginning July 1, 2011 to include $8,749,006 of federal funds and grants to provide employment, health screening, medical, cash and social service assistance to refugees.","","2012-2016",0,0,1,0,1,0,1,0,1,0,NA,3,NA
"350","GA","GA H 744 2014","The purpose of this appropriation is to reimburse members of the Immigration Enforcement Review Board for expenses incurred in connection with the investigation and review of complaints alleging failure of public agencies or employees to properly adhere to federal and state laws related to the federal work authorization program E-Verify.","","2012-2016",0,0,0,0,1,0,0,0,1,0,NA,2,NA
"351","GA","GA H 75 2015","This budget allocates $9,303,613 for Refugee Assistance, to provide employment, health screening, medical, cash, and social services assistance to refugees for fiscal year 2015. Additionally, $20,000 is appropriated to the Immigration Enforcement Review Board in fiscal year 2015 to reimburse members for expenses incurred in connection with the investigation and review of complaints alleging failure of public agencies or employees to properly adhere to federal and state laws related to the federal work authorization program E-Verify.","","2012-2016",0,0,1,0,1,0,1,0,1,0,NA,3,NA
"352","GA","GA H 751 2016","This appropriations law includes funds for the Immigration Enforcement Review Board and funds to provide refugee assistance.","","2012-2016",0,0,0,0,1,0,1,0,0,0,NA,1,NA
"353","GA","GA H 76 2015","This budget allocates $9,303,613 to Refugee Assistance to provide employment, health screening, medical, cash, and social services assistance to refugees for fiscal year 2016. Additionally, $20,000 is appropriated to the Immigration Enforcement Review Board in fiscal year 2016 to reimburse members for expenses incurred in connection with the investigation and review of complaints alleging failure of public agencies or employees to properly adhere to federal and state laws related to the federal work authorization program E-Verify.","","2012-2016",0,0,1,0,1,0,1,0,1,0,NA,3,NA
"354","GA","GA H 797 2012","This law assigns the Georgia Charter Schools Commission the duty to review the citizenship and immigration status of each individual that works at a state charter school and to aggregate the information by school on an annual basis.","","2012-2016",0,0,0,1,0,0,0,0,0,0,NA,1,NA
"355","GA","GA H 865 2012","This law states that all motor carriers and applicants for limousine chauffeur shall be a U.S. citizen, or be able to present federal documentation verified by the U.S. Department of Homeland Security as valid evidence of lawful presence in the United States.","","2012-2016",0,0,0,0,0,1,0,0,0,0,NA,0,NA
"357","GA","GA H 872 2012","This law related to secondary metals recyclers removes a work authorization issued by the U.S. Citizenship and Immigration Services in the definition of a personal identification card.","","2012-2016",1,0,0,0,1,0,0,0,0,0,NA,2,NA
"358","GA","GA H 936 2016","This law addressing wages includes a definition of employers that includes their registration and authorization to use E-Verify.","","2012-2016",0,0,0,0,0,0,0,0,1,0,NA,1,NA
"359","GA","GA HR 1023 2016","This resolution honors Councilwoman Dianne Leonetti for her services to Georgia, who served the refugee community through her church.","","2012-2016",0,0,0,0,1,0,1,0,0,0,NA,1,NA
"360","GA","GA HR 1259 2016","This resolution commends the members of the St. Patrick's Day Parade Committee, Chairman Jerry Hogan, Jr., and the Grand Marshal of the 2016 St. Patrick's Day Parade on the upcoming occasion of the 2016 St. Patrick's Day Parade in Savannah, Georgia. The St. Patrick's Day Parade began in 1824 in order to aid early Irish immigrants in Georgia.","","2012-2016",0,0,0,0,0,0,0,1,0,0,NA,1,NA
"361","GA","GA HR 1280 2012","This resolution recognizes February 9 as Community Health Centers Day. Community health centers provide high quality primary and preventive health care to 400,000 people in the State of Georgia, including Medicaid recipients, the uninsured, the working poor and immigrants.","","2012-2016",0,0,1,0,0,0,0,1,0,0,NA,2,NA
"362","GA","GA HR 1318 2016","This resolution recognizes February 10, 2016, as New Americans Day at the capitol. This day marks the second annual United States Citizenship and Immigration Services Naturalization Ceremony in the State Capitol Rotunda welcoming new citizens to Georgia's ranks.","","2012-2016",0,0,0,0,1,0,0,0,0,0,NA,1,NA
"363","GA","GA HR 1397 2016","This resolution recognizes Mr. Derrick Kayongo and congratulating him upon his appoint as the new CEO of the Center for Civil and Human Rights. Mr. Kayongo fled a civil war in Uganda and settled as a refugee in Kenya to later immigrate to the United States.","","2012-2016",0,0,0,0,0,0,1,0,0,0,NA,0,NA
"364","GA","GA HR 1453 2016","This resolution commends Nicole Chai for her significant contributions to Georgia. Nicole Chai comes from an immigrant family, and is the first generation born in the United States.","","2012-2016",0,0,0,0,0,0,0,1,0,0,NA,1,NA
"365","GA","GA HR 1488 2016","This resolution commends the Islamic Circle of North America (ICNA) Relief as being the nation's only Muslim disaster relief center that has done great work. In Georgia, the ICNA provides ESL classes for female immigrants.","","2012-2016",0,0,0,0,0,0,0,1,0,0,NA,1,NA
"366","GA","GA HR 1552 2016","This resolution commends Angie's House, Inc., created out of a need to bring attention to children and youth who are exposed to violence in the home, focuses on breaking the cycle of abuse and helping the community understand that intimate partner violence affects children and youth regardless of race, ethnicity, class, sexual and gender identity, religious affiliation, age, or immigration status.","","2012-2016",0,0,0,1,0,0,0,0,0,0,NA,1,NA
"367","GA","GA HR 1631 2016","This resolution recognizes March 23, 2016, as Pakistani American Day at the state capitol. Recognizes that Pakistani immigrants have help[ed to turn emergent areas within the State of Georgia into thriving and respectable communities, while raising their children to be productive Pakistani Americans.","","2012-2016",0,0,0,0,0,0,0,1,0,0,NA,1,NA
"368","GA","GA HR 1646 2016","This resolution commends the members of the St. Patrick's Day Parade Committee, Chairman Jerry Hogan, Jr., and the Grand Marshal of the 2016 St. Patrick's Day Parade on the upcoming occasion of the 2016 St. Patrick's Day Parade in Savannah, Georgia. The St. Patrick's Day Parade began in 1824 in order to aid early Irish immigrants in Georgia.","","2012-2016",0,0,0,0,0,0,0,1,0,0,NA,1,NA
